"id_noticia"|"id_tipo"|"id_pais"|"id_fuente"|"id_autor"|"real_fake_integer"|"tiempo"|"compartir_tiempo"|"compartir"|"visitas"|"duracion"|"favorito"
"10"|"0"|"0"|"0"|"0"|"0"|"2022-09-07 13:00:00"|"2022-09-08 14:00:00"|"59275"|"24881"|"558"|"5035"
"100"|"1"|"1"|"1"|"1"|"0"|"2022-09-08 17:00:00"|"2022-09-18 00:00:00"|"60949"|"737334"|"279"|"9823"
"10001"|"2"|"2"|"1"|"2"|"1"|"2022-09-11 11:00:00"|"2022-09-24 07:00:00"|"10094"|"563200"|"432"|"5226"
"10004"|"3"|"3"|"2"|"3"|"0"|"2022-09-07 06:00:00"|"2022-09-24 14:00:00"|"30962"|"883120"|"171"|"5078"
"10006"|"4"|"4"|"3"|"4"|"1"|"2022-09-05 12:00:00"|"2022-09-30 22:00:00"|"51808"|"870165"|"166"|"6424"
"10008"|"5"|"5"|"4"|"5"|"0"|"2022-10-07 03:00:00"|"2022-10-08 23:00:00"|"23505"|"918995"|"114"|"72"
"10009"|"4"|"6"|"4"|"6"|"0"|"2022-09-17 16:00:00"|"2022-10-07 20:00:00"|"21433"|"260185"|"222"|"3849"
"1001"|"3"|"7"|"5"|"7"|"1"|"2022-09-13 12:00:00"|"2022-10-08 05:00:00"|"89257"|"414723"|"100"|"4801"
"10010"|"4"|"8"|"6"|"6"|"1"|"2022-09-10 04:00:00"|"2022-10-02 08:00:00"|"2741"|"198284"|"353"|"7197"
"10013"|"4"|"9"|"7"|"4"|"1"|"2022-09-05 13:00:00"|"2022-10-04 21:00:00"|"51460"|"443690"|"351"|"751"
"10015"|"1"|"10"|"2"|"8"|"1"|"2022-10-05 01:00:00"|"2022-10-05 19:00:00"|"50868"|"268526"|"674"|"4445"
"10016"|"6"|"11"|"8"|"9"|"1"|"2022-09-07 17:00:00"|"2022-09-16 02:00:00"|"26612"|"963140"|"30"|"4866"
"10020"|"4"|"3"|"9"|"2"|"0"|"2022-09-08 06:00:00"|"2022-09-11 13:00:00"|"44455"|"863442"|"159"|"4623"
"10021"|"0"|"12"|"10"|"10"|"0"|"2022-09-10 20:00:00"|"2022-09-19 02:00:00"|"90567"|"506229"|"368"|"6458"
"10022"|"4"|"13"|"5"|"9"|"1"|"2022-09-23 21:00:00"|"2022-10-06 12:00:00"|"99683"|"991686"|"249"|"6693"
"10023"|"4"|"14"|"11"|"11"|"1"|"2022-10-04 16:00:00"|"2022-10-05 19:00:00"|"53047"|"748171"|"188"|"5402"
"10024"|"4"|"8"|"12"|"12"|"0"|"2022-09-13 09:00:00"|"2022-10-10 10:00:00"|"95398"|"796770"|"101"|"6035"
"10027"|"4"|"11"|"13"|"13"|"0"|"2022-09-01 10:00:00"|"2022-09-25 20:00:00"|"82461"|"427170"|"24"|"9694"
"10028"|"7"|"15"|"14"|"14"|"1"|"2022-09-07 14:00:00"|"2022-10-04 00:00:00"|"73355"|"687352"|"339"|"2527"
"10029"|"1"|"16"|"15"|"6"|"1"|"2022-09-21 01:00:00"|"2022-09-29 11:00:00"|"59209"|"341721"|"597"|"7812"
"1003"|"8"|"17"|"13"|"1"|"1"|"2022-09-10 18:00:00"|"2022-10-11 05:00:00"|"19410"|"241650"|"512"|"3104"
"10031"|"4"|"5"|"16"|"0"|"0"|"2022-09-07 14:00:00"|"2022-09-07 23:00:00"|"39508"|"784016"|"132"|"2249"
"10032"|"4"|"18"|"16"|"15"|"1"|"2022-09-09 10:00:00"|"2022-09-17 22:00:00"|"41245"|"302157"|"699"|"8473"
"10036"|"4"|"18"|"17"|"9"|"1"|"2022-09-11 00:00:00"|"2022-09-15 06:00:00"|"41809"|"911078"|"24"|"6898"
"10038"|"4"|"19"|"15"|"16"|"0"|"2022-09-19 22:00:00"|"2022-10-05 01:00:00"|"1899"|"990344"|"346"|"45"
"10042"|"4"|"20"|"18"|"17"|"1"|"2022-09-04 01:00:00"|"2022-10-09 00:00:00"|"27664"|"466097"|"740"|"102"
"10045"|"4"|"21"|"1"|"9"|"1"|"2022-09-08 21:00:00"|"2022-10-05 06:00:00"|"16402"|"508853"|"224"|"8406"
"10047"|"1"|"3"|"19"|"18"|"1"|"2022-09-20 18:00:00"|"2022-09-29 14:00:00"|"39026"|"854737"|"395"|"6707"
"10048"|"4"|"13"|"12"|"19"|"1"|"2022-09-18 20:00:00"|"2022-10-10 00:00:00"|"35797"|"223102"|"359"|"6415"
"10049"|"0"|"22"|"6"|"20"|"0"|"2022-09-06 14:00:00"|"2022-09-09 13:00:00"|"83781"|"82033"|"375"|"338"
"1005"|"9"|"4"|"16"|"15"|"1"|"2022-09-25 19:00:00"|"2022-09-29 04:00:00"|"41714"|"758571"|"186"|"3113"
"10050"|"4"|"17"|"12"|"20"|"0"|"2022-09-16 04:00:00"|"2022-09-20 07:00:00"|"58436"|"707136"|"353"|"2653"
"10053"|"4"|"23"|"20"|"21"|"0"|"2022-09-30 00:00:00"|"2022-10-08 15:00:00"|"29142"|"998846"|"82"|"7404"
"10054"|"6"|"24"|"20"|"9"|"0"|"2022-09-01 09:00:00"|"2022-09-20 11:00:00"|"9045"|"260491"|"389"|"2352"
"10055"|"10"|"6"|"13"|"16"|"0"|"2022-09-07 12:00:00"|"2022-09-16 14:00:00"|"6302"|"445046"|"42"|"652"
"10056"|"4"|"22"|"0"|"22"|"0"|"2022-09-20 15:00:00"|"2022-09-29 14:00:00"|"75813"|"317949"|"101"|"9147"
"10057"|"11"|"25"|"0"|"6"|"0"|"2022-09-11 04:00:00"|"2022-10-05 14:00:00"|"39195"|"555703"|"18"|"0"
"10058"|"4"|"5"|"21"|"23"|"0"|"2022-09-30 05:00:00"|"2022-10-09 10:00:00"|"48615"|"557330"|"324"|"9913"
"1006"|"1"|"26"|"7"|"24"|"0"|"2022-09-21 14:00:00"|"2022-10-09 17:00:00"|"13441"|"837544"|"257"|"4364"
